A,B,C,D,isolate,uniprod_id
cct:CC1_26740,CDS,2707837..2708844,hydrogenase expression/formation protein HypE,T02584,
cct:CC1_26750,CDS,2708928..2709200,hypothetical protein,T02584,
cct:CC1_26760,CDS,2709255..2710016,Nitrogenase subunit NifH (ATPase),T02584,
cct:CC1_26770,CDS,2710031..2711371,Nitrogenase component 1 type Oxidoreductase.,T02584,
cct:CC1_26780,CDS,2711368..2712582,"Nitrogenase molybdenum-iron protein, alpha and beta chains",T02584,
cct:CC1_26790,CDS,2712601..2713806,iron-only hydrogenase maturation protein HydF,T02584,
cct:CC1_26820,CDS,2716035..2716814,"Electron transfer flavoprotein, alpha subunit",T02584,
cct:CC1_26830,CDS,2716830..2718179,Uncharacterized flavoproteins,T02584,
cct:CC1_26850,CDS,2718649..2720046,PAS domain S-box,T02584,
cct:CC1_26860,CDS,2720302..2721189,MaoC like domain.,T02584,
cct:CC1_26880,CDS,2722028..2723071,spermidine/putrescine ABC transporter ATP-binding subunit,T02584,
cct:CC1_26890,CDS,2723072..2723890,"ABC-type spermidine/putrescine transport system, permease component I",T02584,
cct:CC1_26900,CDS,2723900..2725756,"ABC-type spermidine/putrescine transport system, permease component II",T02584,
cct:CC1_26910,CDS,2725878..2727551,Protein of unknown function (DUF1703)./Predicted AAA-ATPase.,T02584,
cct:CC1_26920,CDS,2727592..2728365,uridine phosphorylase,T02584,
cct:CC1_26930,CDS,2728432..2728911,cytidine deaminase,T02584,
cct:CC1_26940,CDS,complement(2728883..2730505),hypothetical protein,T02584,
cct:CC1_26960,CDS,complement(2730949..2731608),Predicted membrane protein,T02584,
cct:CC1_26990,CDS,2733669..2733983,Thioredoxin domain-containing protein,T02584,
cct:CC1_27000,CDS,2734077..2735060,thioredoxin-disulfide reductase,T02584,
cct:CC1_27010,CDS,2735215..2736870,Sulfate permease and related transporters (MFS superfamily),T02584,
cct:CC1_27020,CDS,2736969..2737976,aspartate-ammonia ligase,T02584,
cct:CC1_27030,CDS,complement(2737973..2739397),PAS domain S-box,T02584,
cct:CC1_27040,CDS,2739638..2740651,2-dehydropantoate 2-reductase,T02584,
cct:CC1_27050,CDS,2740677..2740832,hypothetical protein,T02584,
cct:CC1_27060,CDS,2740850..2742385,Na+/proline symporter,T02584,
cct:CC1_27070,CDS,2742434..2743606,hypothetical protein,T02584,
cct:CC1_27080,CDS,2743637..2744770,"hydroxymethylglutaryl-CoA reductase, degradative",T02584,
cct:CC1_27090,CDS,2744846..2745685,3-keto-5-aminohexanoate cleavage enzyme,T02584,
cct:CC1_27100,CDS,2745871..2746335,hypothetical protein,T02584,
cct:CC1_27110,CDS,2746336..2747307,hypothetical protein,T02584,
cct:CC1_27120,CDS,2747786..2748592,Enoyl-CoA hydratase/carnithine racemase,T02584,
cct:CC1_27130,CDS,2748700..2750022,H+/gluconate symporter and related permeases,T02584,
cct:CC1_27140,CDS,2750150..2751391,Predicted acyl-CoA transferases/carnitine dehydratase,T02584,
cct:CC1_27150,CDS,2751519..2752658,Acyl-CoA dehydrogenases,T02584,
cct:CC1_27160,CDS,2752809..2754185,"Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding domains",T02584,
cct:CC1_27170,CDS,2754188..2754757,transcriptional regulator,T02584,
cct:CC1_27180,CDS,2754931..2756979,Myosin-crossreactive antigen,T02584,
cct:CC1_27190,CDS,complement(2757056..2757196),hypothetical protein,T02584,
cct:CC1_27210,CDS,complement(2758090..2758617),hypothetical protein,T02584,
cct:CC1_27220,CDS,2758870..2759070,Ferredoxin thioredoxin reductase catalytic beta chain.,T02584,
cct:CC1_27230,CDS,complement(2759055..2759153),hypothetical protein,T02584,
cct:CC1_27250,CDS,2759544..2759954,N-formylmethionyl-tRNA deformylase,T02584,
cct:CC1_27270,CDS,2761120..2762124,DnaJ-class molecular chaperone with C-terminal Zn finger domain,T02584,
cct:CC1_27280,CDS,complement(2762215..2762910),hypothetical protein,T02584,
cct:CC1_27290,CDS,2763283..2763498,Fe2+ transport system protein A,T02584,
cct:CC1_27300,CDS,2763556..2763774,Fe2+ transport system protein A,T02584,
cct:CC1_27310,CDS,2763869..2766361,ferrous iron transporter FeoB,T02584,
cct:CC1_27320,CDS,2766470..2766958,Fe2+/Zn2+ uptake regulation proteins,T02584,
cct:CC1_27330,CDS,2767236..2767823,hypothetical protein,T02584,
cct:CC1_27340,CDS,2767903..2768334,"flavodoxin, short chain",T02584,
cct:CC1_27350,CDS,2768453..2768734,Uncharacterized protein conserved in bacteria (DUF2325).,T02584,
cct:CC1_27360,CDS,2768855..2769070,hypothetical protein,T02584,
cct:CC1_27370,CDS,2769096..2769320,hypothetical protein,T02584,
cct:CC1_27390,CDS,2770067..2770540,"RNA polymerase sigma factor, sigma-70 family",T02584,
cct:CC1_27400,CDS,2770537..2771787,hypothetical protein,T02584,
cct:CC1_27420,CDS,2772461..2775979,"ABC-type antimicrobial peptide transport system, ATPase component",T02584,
cct:CC1_27430,CDS,2776080..2776859,Metal-dependent hydrolases of the beta-lactamase superfamily II,T02584,
cct:CC1_27440,CDS,2777296..2778009,Predicted membrane protein,T02584,
cct:CC1_27450,CDS,2778107..2778541,hypothetical protein,T02584,
cct:CC1_27470,CDS,2780167..2781786,"ABC-type dipeptide transport system, periplasmic component",T02584,
cct:CC1_27480,CDS,2781938..2782891,"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",T02584,
cct:CC1_27490,CDS,2782897..2783769,"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",T02584,
cct:CC1_27500,CDS,2783781..2784824,"oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain",T02584,
cct:CC1_27510,CDS,2784808..2785788,"oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain",T02584,
cct:CC1_27520,CDS,2785822..2786352,ADP-ribose pyrophosphatase,T02584,
cct:CC1_27530,CDS,2786646..2787494,dTDP-4-dehydrorhamnose reductase,T02584,
cct:CC1_27540,CDS,2787499..2788770,Na+/H+-dicarboxylate symporters,T02584,
cct:CC1_27550,CDS,complement(2788838..2790193),"putative efflux protein, MATE family",T02584,
cct:CC1_27560,CDS,complement(2790477..2791883),amino acid carrier protein,T02584,
cct:CC1_27570,CDS,2792269..2794929,Signal transduction histidine kinase,T02584,
cct:CC1_27580,CDS,2794932..2796578,Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain,T02584,
cct:CC1_27590,CDS,2796582..2798063,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase./Histidine kinase./HAMP domain.",T02584,
cct:CC1_27600,CDS,2798240..2799346,"monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)",T02584,
cct:CC1_27610,CDS,2799510..2801027,"monosaccharide ABC transporter ATP-binding protein, CUT2 family (TC 3.A.1.2.-)",T02584,
cct:CC1_27620,CDS,2801020..2802075,"monosaccharide ABC transporter membrane protein, CUT2 family (TC 3.A.1.2.-)",T02584,
cct:CC1_27630,CDS,2802078..2803115,"monosaccharide ABC transporter membrane protein, CUT2 family (TC 3.A.1.2.-)",T02584,
cct:CC1_27640,CDS,2803129..2804730,L-arabinose isomerase,T02584,
cct:CC1_27650,CDS,2804881..2806476,Sugar (pentulose and hexulose) kinases,T02584,
cct:CC1_27660,CDS,2806565..2807266,L-ribulose 5-phosphate 4-epimerase,T02584,
cct:CC1_27670,CDS,2807396..2808049,"transaldolase, putative, TalC family",T02584,
cct:CC1_27690,CDS,2809127..2810611,L-fucose isomerase and related proteins,T02584,
cct:CC1_27700,CDS,2810625..2812082,xylulokinase,T02584,
cct:CC1_27710,CDS,complement(2812178..2814121),diguanylate cyclase (GGDEF) domain,T02584,
cct:CC1_27720,CDS,complement(2814181..2814399),Fe2+ transport system protein A,T02584,
cct:CC1_27730,CDS,complement(2814659..2815435),Predicted permeases,T02584,
cct:CC1_27750,CDS,complement(2815950..2817341),Mg2+ transporter (mgtE),T02584,
cct:CC1_27760,CDS,2817886..2818941,Predicted permease.,T02584,
cct:CC1_27770,CDS,2819126..2819350,hypothetical protein,T02584,
cct:CC1_27780,CDS,2819335..2820867,Uncharacterized conserved protein,T02584,
cct:CC1_27800,CDS,complement(2821480..2822157),cAMP-binding proteins-catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,T02584,
cct:CC1_27810,CDS,2822499..2822825,Cupin domain.,T02584,
cct:CC1_27820,CDS,complement(2822853..2823062),hypothetical protein,T02584,
cct:CC1_27840,CDS,2824143..2824394,Deoxyribose-phosphate aldolase,T02584,
cct:CC1_27850,CDS,complement(2824570..2825895),Na+-driven multidrug efflux pump,T02584,
cct:CC1_27860,CDS,2826008..2826760,Predicted transcriptional regulators,T02584,
cct:CC1_27870,CDS,2827215..2827643,heat shock protein Hsp20,T02584,
cct:CC1_27880,CDS,2827727..2828185,heat shock protein Hsp20,T02584,
cct:CC1_27890,CDS,2828440..2830392,"NADH:flavin oxidoreductases, Old Yellow Enzyme family",T02584,
cct:CC1_27900,CDS,2830465..2831412,Transcriptional regulator,T02584,
cct:CC1_27910,CDS,2831399..2832181,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),T02584,
cct:CC1_27920,CDS,2832329..2833090,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),T02584,
cct:CC1_27930,CDS,complement(2833162..2833329),hypothetical protein,T02584,
cct:CC1_27940,CDS,2833475..2835082,Sugar diacid utilization regulator,T02584,
cct:CC1_27980,CDS,2836323..2839661,diguanylate cyclase (GGDEF) domain,T02584,
cct:CC1_27990,CDS,2839661..2839780,hypothetical protein,T02584,
cct:CC1_28020,CDS,2840760..2841521,Predicted permeases,T02584,
cct:CC1_28030,CDS,complement(2841566..2842060),hypothetical protein,T02584,
cct:CC1_28040,CDS,2842400..2844004,Protein of unknown function (DUF1703)./Predicted AAA-ATPase.,T02584,
cct:CC1_28050,CDS,2844380..2846974,ATP-dependent chaperone ClpB,T02584,
cct:CC1_28060,CDS,complement(2847129..2848292),hypothetical protein,T02584,
cct:CC1_28070,CDS,complement(2848305..2849690),Predicted membrane protein involved in D-alanine export,T02584,
cct:CC1_28080,CDS,complement(2849707..2850189),hypothetical protein,T02584,
cct:CC1_28090,CDS,complement(2850182..2850979),Lysophospholipase L1 and related esterases,T02584,
cct:CC1_28100,CDS,2851364..2852713,"putative efflux protein, MATE family",T02584,
cct:CC1_28110,CDS,complement(2852863..2852946),hypothetical protein,T02584,
cct:CC1_28130,CDS,complement(2857091..2857957),Transcriptional regulator,T02584,
cct:CC1_28140,CDS,2858145..2858702,Chromate transport protein ChrA,T02584,
cct:CC1_28150,CDS,2858715..2859278,Chromate transport protein ChrA,T02584,
cct:CC1_28160,CDS,2859390..2860403,L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases,T02584,
cct:CC1_28180,CDS,2861637..2862683,"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",T02584,
cct:CC1_28190,CDS,2862702..2863700,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",T02584,
cct:CC1_28200,CDS,2863697..2864686,"oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain",T02584,
cct:CC1_28210,CDS,2864870..2866549,"ABC-type oligopeptide transport system, periplasmic component",T02584,
cct:CC1_28220,CDS,2866971..2868578,Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen,T02584,
cct:CC1_28230,CDS,complement(2868787..2869392),Isopentenyldiphosphate isomerase,T02584,
cct:CC1_28240,CDS,2869823..2870323,hypothetical protein,T02584,
cct:CC1_28250,CDS,2870926..2874075,isoleucyl-tRNA synthetase,T02584,
cct:CC1_28260,CDS,2874076..2876550,glycogen/starch/alpha-glucan phosphorylases,T02584,
cct:CC1_28290,CDS,2879291..2880544,"Transcriptional regulatory protein, C terminal./Bacterial transcriptional activator domain.",T02584,
cct:CC1_28300,CDS,2880532..2880969,hypothetical protein,T02584,
cct:CC1_28310,CDS,2881407..2881604,hypothetical protein,T02584,
cct:CC1_28320,CDS,2881594..2886831,fibro-slime domain,T02584,
cct:CC1_28330,CDS,2886936..2888414,Cna protein B-type domain./Gram positive anchor.,T02584,
cct:CC1_28340,CDS,2888553..2889500,LPXTG-site transpeptidase (sortase) family protein,T02584,
cct:CC1_28350,CDS,2889507..2890382,LPXTG-site transpeptidase (sortase) family protein,T02584,
cct:CC1_28360,CDS,2890413..2891399,hypothetical protein,T02584,
cct:CC1_28370,CDS,2891416..2891934,hypothetical protein,T02584,
cct:CC1_28380,CDS,2891948..2892694,hypothetical protein,T02584,
cct:CC1_28390,CDS,2892710..2893504,hypothetical protein,T02584,
cct:CC1_28400,CDS,2893506..2894552,hypothetical protein,T02584,
cct:CC1_28420,CDS,2895365..2896432,Uncharacterized conserved protein,T02584,
cct:CC1_28430,CDS,complement(2896522..2897577),pilus retraction protein PilT,T02584,
cct:CC1_28440,CDS,complement(2897606..2898208),hypothetical protein,T02584,
cct:CC1_28450,CDS,complement(2898205..2898672),hypothetical protein,T02584,
cct:CC1_28460,CDS,complement(2898703..2899188),hypothetical protein,T02584,
cct:CC1_28470,CDS,complement(2899185..2899520),hypothetical protein,T02584,
cct:CC1_28480,CDS,complement(2899537..2900589),"Type II secretory pathway, component PulF",T02584,
cct:CC1_28490,CDS,complement(2900660..2901694),"Transglutaminase-like enzymes, putative cysteine proteases",T02584,
cct:CC1_28500,CDS,2901861..2903255,asparaginyl-tRNA synthetase,T02584,
cct:CC1_28510,CDS,2903286..2904242,Predicted permeases,T02584,
cct:CC1_28520,CDS,2904267..2905970,Protein of unknown function (DUF1703)./Predicted AAA-ATPase.,T02584,
cct:CC1_28530,CDS,2905948..2906526,hypothetical protein,T02584,
cct:CC1_28540,CDS,2907162..2908190,"oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain",T02584,
cct:CC1_28550,CDS,2908194..2909159,"oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain",T02584,
cct:CC1_28560,CDS,2909271..2910917,"ABC-type dipeptide transport system, periplasmic component",T02584,
cct:CC1_28570,CDS,2911151..2912170,"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",T02584,
cct:CC1_28580,CDS,2912171..2913007,"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",T02584,
cct:CC1_28590,CDS,2913439..2914866,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",T02584,
cct:CC1_28610,CDS,2916289..2916873,Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family,T02584,
cct:CC1_28620,CDS,2916912..2917358,Acetyltransferase (GNAT) family.,T02584,
cct:CC1_28630,CDS,complement(2917606..2919843),"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",T02584,
cct:CC1_28640,CDS,complement(2919858..2921780),DNA topoisomerase IV subunit B,T02584,
cct:CC1_28650,CDS,2922226..2923305,6-phosphofructokinase,T02584,
cct:CC1_28660,CDS,2923661..2925247,"DNA polymerase III, subunits gamma and tau",T02584,
cct:CC1_28670,CDS,2925338..2925682,conserved hypothetical protein TIGR00103,T02584,
cct:CC1_28680,CDS,2925682..2926278,recombination protein RecR,T02584,
cct:CC1_28690,CDS,2926447..2927370,hypothetical protein,T02584,
cct:CC1_28700,CDS,complement(2927447..2927989),Protein of unknown function (DUF1256).,T02584,
cct:CC1_28710,CDS,2928176..2929345,LysM domain.,T02584,
cct:CC1_28720,CDS,2929453..2930583,hypothetical protein,T02584,
cct:CC1_T_34770,tRNA,2931704..2931777,CC1_T_34770,T02584,
cct:CC1_28750,CDS,2932025..2933716,"oligoendopeptidase, M3 family",T02584,
cct:CC1_28760,CDS,2933748..2934662,Transcriptional regulator,T02584,
cct:CC1_28780,CDS,2935227..2935913,"ABC-type multidrug transport system, ATPase component",T02584,
cct:CC1_28790,CDS,2935934..2936683,hypothetical protein,T02584,
cct:CC1_28800,CDS,2936830..2938611,chaperone protein DnaK,T02584,
cct:CC1_28810,CDS,2938622..2939299,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02584,
cct:CC1_28820,CDS,complement(2939405..2939695),Uncharacterized conserved protein,T02584,
cct:CC1_28830,CDS,2939868..2941061,Phosphoribosylamine-glycine ligase,T02584,
cct:CC1_28840,CDS,complement(2941171..2941650),ybaK/ebsC protein,T02584,
cct:CC1_28850,CDS,2941839..2943326,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_28860,CDS,2943634..2943831,hypothetical protein,T02584,
cct:CC1_28870,CDS,2943847..2944251,hypothetical protein,T02584,
cct:CC1_28880,CDS,2944528..2944752,hypothetical protein,T02584,
cct:CC1_28900,CDS,2945668..2949879,Listeria/Bacterioides repeat,T02584,
cct:CC1_T_34830,tRNA,complement(2950171..2950243),CC1_T_34830,T02584,
cct:CC1_T_34820,tRNA,complement(2950275..2950347),CC1_T_34820,T02584,
cct:CC1_T_34810,tRNA,complement(2950375..2950447),CC1_T_34810,T02584,
cct:CC1_28920,CDS,complement(2951829..2953073),ammonium transporter,T02584,
cct:CC1_28930,CDS,complement(2953076..2953141),hypothetical protein,T02584,
cct:CC1_28940,CDS,2953255..2953350,hypothetical protein,T02584,
cct:CC1_28950,CDS,2953585..2954505,"orotidine 5'-phosphate decarboxylase, subfamily 2",T02584,
cct:CC1_28960,CDS,2954597..2955361,2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases,T02584,
cct:CC1_28970,CDS,2955361..2956266,dihydroorotate dehydrogenase (subfamily 1) family protein,T02584,
cct:CC1_28990,CDS,2958271..2958525,Uncharacterised protein family (UPF0175).,T02584,
cct:CC1_29010,CDS,2958998..2959120,hypothetical protein,T02584,
cct:CC1_29030,CDS,2960156..2960974,Mn-dependent transcriptional regulator,T02584,
cct:CC1_29040,CDS,2960995..2961831,hypothetical protein,T02584,
cct:CC1_29080,CDS,2969569..2970786,"heme ABC transporter, heme-binding protein isdE",T02584,
cct:CC1_29100,CDS,2971881..2972741,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",T02584,
cct:CC1_29110,CDS,2972805..2973200,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_29120,CDS,complement(2973351..2973452),hypothetical protein,T02584,
cct:CC1_29130,CDS,2973815..2974168,Nitrous oxide-stimulated promoter.,T02584,
cct:CC1_29140,CDS,2974188..2975933,"ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components",T02584,
cct:CC1_29150,CDS,2975926..2977737,"ABC-type multidrug transport system, ATPase and permease components",T02584,
cct:CC1_29190,CDS,complement(2979671..2980612),K+-dependent Na+/Ca+ exchanger related-protein,T02584,
cct:CC1_29210,CDS,2980848..2982056,Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities,T02584,
cct:CC1_29220,CDS,2982043..2982114,hypothetical protein,T02584,
cct:CC1_29230,CDS,2982145..2982831,orotate phosphoribosyltransferase,T02584,
cct:CC1_29240,CDS,2982864..2983064,hypothetical protein,T02584,
cct:CC1_29260,CDS,2983602..2983934,hypothetical protein,T02584,
cct:CC1_29270,CDS,2983994..2986105,Leucyl aminopeptidase (aminopeptidase T),T02584,
cct:CC1_29280,CDS,2986333..2987460,5-(carboxyamino)imidazole ribonucleotide synthase,T02584,
cct:CC1_29290,CDS,2987475..2987990,5-(carboxyamino)imidazole ribonucleotide mutase,T02584,
cct:CC1_29300,CDS,2987995..2989359,amidophosphoribosyltransferase,T02584,
cct:CC1_29310,CDS,2989452..2990477,phosphoribosylaminoimidazole synthetase,T02584,
cct:CC1_29320,CDS,2990471..2991097,formyltetrahydrofolate-dependent phosphoribosylglycinamide formyltransferase,T02584,
cct:CC1_29330,CDS,2991247..2992518,phosphoribosylamine--glycine ligase,T02584,
cct:CC1_29340,CDS,2992726..2993508,Shikimate kinase,T02584,
cct:CC1_29350,CDS,2993672..2993755,hypothetical protein,T02584,
cct:CC1_29360,CDS,2993745..2994389,DNA-3-methyladenine glycosylase II,T02584,
cct:CC1_29370,CDS,2994391..2994936,O-6-methylguanine DNA methyltransferase,T02584,
cct:CC1_29380,CDS,2995115..2995648,"RNA polymerase sigma factor, sigma-70 family",T02584,
cct:CC1_29390,CDS,2995638..2996507,hypothetical protein,T02584,
cct:CC1_29400,CDS,2996495..2997370,"ABC-type multidrug transport system, ATPase component",T02584,
cct:CC1_29410,CDS,2997372..2998448,hypothetical protein,T02584,
cct:CC1_29420,CDS,2998602..2999087,hypothetical protein,T02584,
cct:CC1_29430,CDS,2999084..2999845,"3-dehydroquinate dehydratase, type I",T02584,
cct:CC1_29450,CDS,3000144..3000590,hypothetical protein,T02584,
cct:CC1_29460,CDS,3000823..3002580,"ABC-type multidrug transport system, ATPase and permease components",T02584,
cct:CC1_29470,CDS,3002580..3004397,"ABC-type multidrug transport system, ATPase and permease components",T02584,
cct:CC1_29480,CDS,3004425..3005024,hypothetical protein,T02584,
cct:CC1_29490,CDS,3005415..3006014,Formate/nitrite family of transporters,T02584,
cct:CC1_29500,CDS,3006120..3006245,hypothetical protein,T02584,
cct:CC1_29510,CDS,3006499..3006615,hypothetical protein,T02584,
cct:CC1_29520,CDS,3006654..3007328,hypothetical protein,T02584,
cct:CC1_29530,CDS,3007356..3007946,Uncharacterized conserved protein,T02584,
cct:CC1_29540,CDS,3007981..3008436,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_29550,CDS,3008696..3009679,ornithine carbamoyltransferase,T02584,
cct:CC1_29560,CDS,3009666..3010595,"Zn-dependent hydrolases, including glyoxylases",T02584,
cct:CC1_29570,CDS,complement(3010728..3011153),"Aspartate carbamoyltransferase, regulatory subunit",T02584,
cct:CC1_29580,CDS,complement(3011158..3012081),aspartate carbamoyltransferase,T02584,
cct:CC1_29600,CDS,3013626..3015359,Adenine deaminase,T02584,
cct:CC1_29610,CDS,3015742..3016797,"ABC-type uncharacterized transport system, periplasmic component",T02584,
cct:CC1_29620,CDS,3016969..3017895,"ABC-type uncharacterized transport system, permease component",T02584,
cct:CC1_29630,CDS,3017888..3018682,"ABC-type uncharacterized transport system, ATPase component",T02584,
cct:CC1_29640,CDS,complement(3018874..3019254),endoribonuclease L-PSP,T02584,
cct:CC1_29650,CDS,complement(3019519..3020616),malate dehydrogenase (NAD),T02584,
cct:CC1_29660,CDS,complement(3020775..3021668),"EDD domain protein, DegV family",T02584,
cct:CC1_29700,CDS,3023499..3024272,thiazole-phosphate synthase,T02584,
cct:CC1_29710,CDS,3024286..3025542,tyrosine lyase ThiH,T02584,
cct:CC1_29720,CDS,3025535..3026116,Thiamine monophosphate synthase,T02584,
cct:CC1_29730,CDS,3026326..3027849,Nucleotidyltransferase/DNA polymerase involved in DNA repair,T02584,
cct:CC1_29740,CDS,3027849..3028319,YolD-like protein.,T02584,
cct:CC1_29750,CDS,complement(3028386..3029117),hypothetical protein,T02584,
cct:CC1_29760,CDS,3029354..3030436,tryptophanyl-tRNA synthetase,T02584,
cct:CC1_29770,CDS,complement(3030653..3030895),Helix-turn-helix.,T02584,
cct:CC1_29780,CDS,3031005..3032390,hypothetical protein,T02584,
cct:CC1_29790,CDS,3032500..3033321,hypothetical protein,T02584,
cct:CC1_29800,CDS,complement(3033418..3034740),hypothetical protein,T02584,
cct:CC1_29810,CDS,3034957..3035841,serine O-acetyltransferase,T02584,
cct:CC1_29820,CDS,3035960..3036391,"transcriptional regulator, BadM/Rrf2 family",T02584,
cct:CC1_29830,CDS,3036480..3037124,Orotate phosphoribosyltransferase,T02584,
cct:CC1_29840,CDS,3037187..3037549,Uridylate kinase,T02584,
cct:CC1_29860,CDS,3037925..3038482,ribosome recycling factor,T02584,
cct:CC1_29870,CDS,3038630..3039367,undecaprenyl diphosphate synthase,T02584,
cct:CC1_29910,CDS,3042403..3043464,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,T02584,
cct:CC1_29940,CDS,3050117..3050581,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_29950,CDS,3050613..3051659,transcription termination factor NusA,T02584,
cct:CC1_29960,CDS,3051672..3051938,Predicted nucleic-acid-binding protein implicated in transcription termination,T02584,
cct:CC1_30000,CDS,3055293..3055685,ribosome-binding factor A,T02584,
cct:CC1_30010,CDS,3055678..3056649,Exopolyphosphatase-related proteins,T02584,
cct:CC1_30020,CDS,3056634..3057554,tRNA pseudouridine synthase B,T02584,
cct:CC1_30030,CDS,3057569..3058501,riboflavin kinase/FMN adenylyltransferase,T02584,
cct:CC1_30040,CDS,3058916..3060265,Predicted DNA-binding protein with the Helix-hairpin-helix motif,T02584,
cct:CC1_30050,CDS,3060282..3061070,hypothetical protein,T02584,
cct:CC1_30060,CDS,3061119..3061709,MAF protein,T02584,
cct:CC1_30070,CDS,3061696..3063264,hypothetical protein,T02584,
cct:CC1_30080,CDS,3063378..3064589,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_30090,CDS,3065303..3065737,LSU ribosomal protein L13P,T02584,
cct:CC1_30100,CDS,3065769..3066161,SSU ribosomal protein S9P,T02584,
cct:CC1_30110,CDS,complement(3066163..3066378),hypothetical protein,T02584,
cct:CC1_30140,CDS,3067626..3067925,hypothetical protein,T02584,
cct:CC1_30150,CDS,complement(3067999..3069411),Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen,T02584,
cct:CC1_30160,CDS,3069526..3070938,Relaxase/Mobilisation nuclease domain.,T02584,
cct:CC1_30170,CDS,3070904..3071167,hypothetical protein,T02584,
cct:CC1_30180,CDS,3071330..3071527,hypothetical protein,T02584,
cct:CC1_30190,CDS,3071508..3072197,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02584,
cct:CC1_30200,CDS,3072194..3073135,Signal transduction histidine kinase,T02584,
cct:CC1_30210,CDS,3073234..3074157,"ABC-type multidrug transport system, ATPase component",T02584,
cct:CC1_30220,CDS,3074150..3074857,hypothetical protein,T02584,
cct:CC1_30230,CDS,complement(3075280..3076644),Signal transduction histidine kinase,T02584,
cct:CC1_30240,CDS,complement(3076649..3077350),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02584,
cct:CC1_30250,CDS,3077507..3078271,"ABC-type multidrug transport system, ATPase component",T02584,
cct:CC1_30260,CDS,3078268..3078993,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_30270,CDS,3079010..3079774,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_30290,CDS,3080145..3080912,"ABC-type antimicrobial peptide transport system, ATPase component",T02584,
cct:CC1_30300,CDS,3080902..3082974,Predicted permease.,T02584,
cct:CC1_30320,CDS,3083668..3084693,Signal transduction histidine kinase,T02584,
cct:CC1_30330,CDS,complement(3084802..3084900),hypothetical protein,T02584,
cct:CC1_30340,CDS,3084954..3086369,Predicted ATPase (AAA+ superfamily),T02584,
cct:CC1_30350,CDS,3086435..3086779,hypothetical protein,T02584,
cct:CC1_30360,CDS,3086929..3087939,Predicted transcriptional regulators,T02584,
cct:CC1_30370,CDS,3088099..3088422,hypothetical protein,T02584,
cct:CC1_30380,CDS,3088446..3088982,hypothetical protein,T02584,
cct:CC1_30390,CDS,complement(3089148..3089540),Predicted transcriptional regulators,T02584,
cct:CC1_30400,CDS,3090187..3090282,hypothetical protein,T02584,
cct:CC1_30410,CDS,3090524..3091459,AraC-type DNA-binding domain-containing proteins,T02584,
cct:CC1_30420,CDS,3091624..3092202,conserved hypothetical integral membrane protein TIGR02185,T02584,
cct:CC1_30450,CDS,3096190..3097905,"ABC-type multidrug transport system, ATPase and permease components",T02584,
cct:CC1_30470,CDS,3098582..3098905,hypothetical protein,T02584,
cct:CC1_30480,CDS,3099137..3100450,Predicted ATPase (AAA+ superfamily),T02584,
cct:CC1_30490,CDS,3100599..3100808,hypothetical protein,T02584,
